紀錄時間,股票代碼,股票名稱,即時股價
2026-06-01 14:31:04,2303,聯電,146.0 元,▲ 1.50,"285,398 張"
2026-06-01 14:31:04,2317,鴻海,293.5 元,▲ 4.50,"193,782 張"
2026-06-01 14:31:18,2330,台積電,"2,355 元",0.00,"34,936 張"
2026-06-01 14:31:18,2303,聯電,146.0 元,▲ 1.50,"285,398 張"
2026-06-01 14:31:19,2317,鴻海,293.5 元,▲ 4.50,"193,782 張"
張"
2026-06-01 14:31:33,2303,聯電,146.0 元,▲ 1.50,"285,398 張"
2026-06-01 14:31:34,2454,聯發科,"4,555 元",▲ 245.00,"17,016 張"
2026-06-01 14:31:34,2330,台積電,"2,355 元",0.00,"34,936 張"
2026-06-01 14:31:34,2317,鴻海,293.5 元,▲ 4.50,"193,782 張"
2026-06-01 14:31:48,2330,台積電,"2,355 元",0.00,"34,936 張"
2026-06-01 14:31:49,2303,聯電,146.0 元,▲ 1.50,"285,398 張"
2026-06-01 14:31:49,2317,鴻海,293.5 元,▲ 4.50,"193,782 張"
2026-06-01 14:31:49,2454,聯發科,"4,555 元",▲ 245.00,"17,016 張"
2026-06-01 14:32:04,2303,聯電,146.0 元,▲ 1.50,"285,398 張"
2026-06-01 14:32:04,2454,聯發科,"4,555 元",▲ 245.00,"17,016 張"
2026-06-01 14:32:04,2317,鴻海,293.5 元,▲ 4.50,"193,782 張"
2026-06-01 14:32:04,2330,台積電,"2,355 元",0.00,"34,936 張"
2026-06-01 14:32:19,2330,台積電,"2,355 元",0.00,"34,936 張"
2026-06-01 14:32:19,2317,鴻海,293.5 元,▲ 4.50,"193,782 張"
2026-06-01 14:32:19,2454,聯發科,"4,555 元",▲ 245.00,"17,016 張"
2026-06-01 14:32:34,2330,台積電,"2,355 元",0.00,"34,936 張"
2026-06-01 14:32:34,2317,鴻海,293.5 元,▲ 4.50,"193,782 張"
2026-06-01 14:32:34,2454,聯發科,"4,555 元",▲ 245.00,"17,016 張"
2026-06-01 14:32:49,2317,鴻海,293.5 元,▲ 4.50,"193,782 張"
2026-06-01 14:32:49,2330,台積電,"2,355 元",0.00,"34,936 張"
2026-06-01 14:32:49,2454,聯發科,"4,555 元",▲ 245.00,"17,016 張"
2026-06-01 14:33:04,2317,鴻海,293.5 元,▲ 4.50,"193,782 張"
2026-06-01 14:33:04,2454,聯發科,"4,555 元",▲ 245.00,"17,016 張"
2026-06-01 14:33:04,2330,台積電,"2,355 元",0.00,"34,936 張"
2026-06-01 14:33:19,2317,鴻海,293.5 元,▲ 4.50,"193,782 張"
2026-06-01 14:33:19,2454,聯發科,"4,555 元",▲ 245.00,"17,016 張"
2026-06-01 14:33:19,2330,台積電,"2,355 元",0.00,"34,936 張"
2026-06-01 14:33:34,2454,聯發科,"4,555 元",▲ 245.00,"17,016 張"
2026-06-01 14:33:34,2330,台積電,"2,355 元",0.00,"34,936 張"
2026-06-01 14:33:34,2317,鴻海,293.5 元,▲ 4.50,"193,782 張"
2026-06-01 14:37:47,2330,台積電,"2,355 元",0.00,"34,956 張"
2026-06-01 14:37:52,2330,台積電,"2,355 元",0.00,"34,956 張"
2026-06-01 14:38:07,2330,台積電,"2,355 元",0.00,"34,956 張"
2026-06-01 14:38:22,2330,台積電,"2,355 元",0.00,"34,956 張"
2026-06-01 14:38:37,2330,台積電,"2,355 元",0.00,"34,956 張"
2026-06-01 14:38:52,2330,台積電,"2,355 元",0.00,"34,956 張"
2026-06-01 14:39:07,2330,台積電,"2,355 元",0.00,"34,956 張"
2026-06-01 14:39:22,2330,台積電,"2,355 元",0.00,"34,956 張"
2026-06-01 14:39:37,2330,台積電,"2,355 元",0.00,"34,956 張"
2026-06-01 14:39:52,2330,台積電,"2,355 元",0.00,"34,956 張"
